  ;MANDT;OBJNR         ;COCUR;BELTP;WRTTP;GJAHR;ACPOS        ;VERSN;PERBL;VORGA;BEMOT;ABKAT;WRT00;WRT01;WRT02;WRT03;WRT04;WRT05;WRT06;WRT07;WRT08;WRT09;WRT10;WRT11 ;WRT12;WRT13;WRT14;WRT15;WRT16;ZZAUFNR     
1 ;120  ;OR000004000000;USD  ;1    ;1    ;2019 ;STK. MATERIAL;000  ;16   ;KPPP ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;92.25 ;0    ;0    ;0    ;0    ;0    ;000004000000
2 ;120  ;OR000004000020;USD  ;1    ;1    ;2019 ;STK. MATERIAL;000  ;16   ;KPPP ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;20.37;0     ;0    ;0    ;0    ;0    ;0    ;000004000020
3 ;120  ;OR000004000020;USD  ;1    ;4    ;2019 ;STK. MATERIAL;000  ;16   ;COIN ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;6.79 ;13.58 ;0    ;0    ;0    ;0    ;0    ;000004000020
4 ;120  ;OR000004000022;USD  ;1    ;1    ;2019 ;STK. MATERIAL;000  ;16   ;KPPP ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;196.14;0    ;0    ;0    ;0    ;0    ;000004000022
5 ;120  ;OR000004000022;USD  ;1    ;4    ;2019 ;STK. MATERIAL;000  ;16   ;COIN ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;385.49;0    ;0    ;0    ;0    ;0    ;000004000022
6 ;120  ;OR000004000023;USD  ;1    ;1    ;2019 ;STK. MATERIAL;000  ;16   ;KPPP ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;36.62;0     ;0    ;0    ;0    ;0    ;0    ;000004000023
7 ;120  ;OR000004000023;USD  ;1    ;4    ;2019 ;STK. MATERIAL;000  ;16   ;COIN ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;36.62;0     ;0    ;0    ;0    ;0    ;0    ;000004000023
8 ;120  ;OR000004000023;USD  ;1    ;1    ;2019 ;LABOR        ;000  ;16   ;KPPS ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;273  ;0     ;0    ;0    ;0    ;0    ;0    ;000004000023
9 ;120  ;OR000004000024;USD  ;1    ;1    ;2019 ;STK. MATERIAL;000  ;16   ;KPPP ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;6.79  ;0    ;0    ;0    ;0    ;0    ;000004000024
10;120  ;OR000004000024;USD  ;1    ;4    ;2019 ;STK. MATERIAL;000  ;16   ;COIN ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;6.79  ;0    ;0    ;0    ;0    ;0    ;000004000024
11;120  ;TM0000000001OR;USD  ;1    ;1    ;2019 ;LABOR        ;EST  ;16   ;     ;     ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0    ;0     ;0    ;0    ;0    ;0    ;0    ;0000000001OR
